Manufacturer,Model Year,Regulatory Class,Real-World MPG,Real-World MPG_City,Real-World MPG_Hwy,Real-World CO2 (g/mi),Real-World CO2_City (g/mi),Real-World CO2_Hwy (g/mi),Weight (lbs),Horsepower (HP),Footprint (sq. ft.)
"Nissan","1990","All","22.99134","20.61009","26.25678","386.53683","431.19661","338.46493","3109.342","138.3872","-"
"Nissan","1991","All","23.03552","20.51165","26.45638","385.79556","433.26600","335.91135","3169.502","143.8258","-"
"Nissan","1992","All","23.48095","20.83008","27.00555","378.47706","426.64264","329.08048","3132.366","141.1735","-"
"Nissan","1993","All","22.49863","19.91036","25.86441","395.00192","446.35065","343.59950","3260.882","144.5888","-"
"Nissan","1994","All","22.52422","19.86369","25.91662","394.55304","447.39916","342.90734","3248.813","142.6495","-"
"Nissan","1995","All","21.47528","18.96212","24.58252","413.82456","468.67123","361.51707","3380.756","153.3854","-"
"Nissan","1996","All","22.75314","19.93054","26.21153","390.58342","445.89869","339.04924","3279.688","153.7371","-"
"Nissan","1997","All","21.73231","18.98753","25.02353","408.93024","468.04396","355.14570","3374.851","153.6148","-"
"Nissan","1998","All","22.07831","19.18330","25.49837","402.52173","463.26750","348.53209","3509.789","155.1314","-"
"Nissan","1999","All","21.56403","18.60564","25.01876","412.12145","477.65075","355.21352","3569.844","159.0822","-"
"Nissan","2000","All","19.69668","17.13510","22.55430","451.19272","518.64303","394.02688","3700.591","175.7452","-"
"Nissan","2001","All","19.44560","16.97217","22.11237","457.01855","523.62204","401.90176","3709.562","181.8034","-"
"Nissan","2002","All","20.08572","17.50733","22.80003","442.45375","507.61587","389.78015","3680.494","190.6783","-"
"Nissan","2003","All","20.35909","17.53917","23.32194","436.51266","506.69445","381.05755","3694.298","213.0582","-"
"Nissan","2004","All","19.38900","16.48022","22.44871","458.35268","539.25262","395.88020","4058.080","227.7070","-"
"Nissan","2005","All","20.08706","17.00124","23.27383","442.42422","522.72657","381.84525","4033.836","227.9450","-"
"Nissan","2006","All","20.00307","16.96241","23.13111","444.28174","523.92329","384.20127","4037.237","229.2077","-"
"Nissan","2007","All","21.30054","18.13915","24.52506","417.21945","489.93472","362.36406","3958.853","223.1658","-"
"Nissan","2008","All","21.89585","18.63652","25.22371","405.87609","476.85942","352.32726","3926.217","227.2689","48.45188"
"Nissan","2009","All","23.58907","20.32888","26.83572","376.74227","437.16127","331.16303","3729.922","208.2097","46.60432"
"Nissan","2010","All","23.18718","19.87125","26.52646","383.27210","447.22900","335.02392","3815.201","211.6697","47.06596"
"Nissan","2011","All","23.34485","20.15511","26.50983","379.88206","440.19289","334.38441","3835.445","211.0751","46.93246"
"Nissan","2012","All","24.07919","20.76745","27.37206","368.22365","427.14689","323.77278","3745.778","203.4417","46.79135"
"Nissan","2013","All","26.46235","22.82962","30.07224","334.23466","387.87959","293.76568","3718.026","203.2243","47.22287"
"Nissan","2014","All","26.72606","23.05445","30.37542","331.89652","384.93062","291.88834","3683.991","198.1239","47.24253"
"Nissan","2015","All","28.01994","24.21641","31.78618","315.59700","365.60670","277.87038","3642.958","188.5220","47.13806"
"Nissan","2016","All","27.83745","23.96539","31.72064","318.46282","370.13385","279.31277","3661.131","192.0148","47.14046"
"Nissan","2017","All","26.89626","22.96176","30.88911","329.89233","386.56809","287.13693","3814.758","206.3446","48.01855"
"Nissan","2018","All","27.12667","23.22792","31.05947","326.79449","381.88528","285.23477","3805.967","200.8810","47.84823"
"Nissan","2019","All","26.96549","23.08319","30.88400","328.58802","384.13300","286.68566","3811.204","202.2397","48.14343"
"Nissan","2020","All","27.93080","23.86701","32.04720","317.35506","371.62523","276.41440","3851.812","204.2258","48.07925"
"Nissan","2021","All","28.55783","24.54988","32.56901","310.56291","361.43982","272.18209","3789.875","195.3950","47.59782"
"Nissan","2022","All","27.43146","23.69744","31.13210","322.35529","373.58859","283.70562","4018.019","221.3279","49.07328"
"Nissan","2023","All","28.86070","25.13322","32.49647","305.08377","350.99822","270.44655","4074.952","222.0609","48.38266"
"Nissan","Prelim. 2024","All","28.63882","24.98817","32.18612","305.92761","351.60766","271.46722","4110.969","222.6816","48.90719"
"Stellantis","1975","All","13.01066","12.04521","14.42365","683.05537","737.80346","616.14103","4050.757","138.4583","-"
"Stellantis","1976","All","13.84731","12.72954","15.51211","641.78527","698.14012","572.90712","4023.390","135.1939","-"
"Stellantis","1977","All","13.78508","12.63878","15.50369","644.68272","703.15351","573.21843","4090.912","136.3138","-"
"Stellantis","1978","All","14.98159","13.82978","16.67943","593.23536","642.63983","532.85212","3763.451","128.2048","-"
"Stellantis","1979","All","16.01313","14.93946","17.55514","555.08898","594.96945","506.34617","3563.187","116.1779","-"
"Stellantis","1980","All","18.33803","16.93620","20.40200","484.62131","524.73414","435.59452","3188.326","94.1180","-"
"Stellantis","1981","All","20.87417","19.17681","23.40626","425.74152","463.42431","379.68477","2972.224","95.1353","-"
"Stellantis","1982","All","20.89161","19.24553","23.33051","425.38609","461.76949","380.91749","3119.989","99.3140","-"
"Stellantis","1983","All","21.93384","20.42167","24.11644","405.39004","435.40352","368.70691","3029.185","95.5671","-"
"Stellantis","1984","All","20.96463","19.40938","23.24070","423.98092","457.95162","382.46118","3079.394","98.2160","-"
"Stellantis","1985","All","20.95168","19.38798","23.24287","424.18920","458.40032","382.37561","3163.161","109.8287","-"
"Stellantis","1986","All","21.01227","19.45481","23.22445","422.95220","456.81113","382.66580","3201.094","108.4271","-"
"Stellantis","1987","All","20.80117","19.04183","23.29790","427.23856","466.71245","381.45362","3221.069","115.7771","-"
"Stellantis","1988","All","20.81240","18.81622","23.65193","427.00508","472.30535","375.74093","3312.380","122.0821","-"
"Stellantis","1989","All","20.25234","18.21173","23.11124","438.81352","487.98214","384.53155","3404.388","124.5044","-"
"Stellantis","1990","All","20.07318","17.86741","23.15418","442.73013","497.38595","383.81835","3528.540","135.7800","-"
"Stellantis","1991","All","20.12441","18.01642","22.94460","441.60309","493.27224","387.32429","3511.562","137.0605","-"
"Stellantis","1992","All","19.70885","17.56340","22.53095","450.91420","505.99532","394.43529","3575.249","141.7793","-"
"Stellantis","1993","All","19.58081","17.21713","22.70471","453.86275","516.17208","391.41666","3567.003","150.6439","-"
"Stellantis","1994","All","18.41166","16.19285","21.26134","482.68330","548.82262","417.98880","3768.127","164.2468","-"
"Stellantis","1995","All","18.98958","16.55693","22.09097","467.99350","536.75396","402.29104","3619.236","166.4476","-"
"Stellantis","1996","All","18.34245","15.80920","21.57004","484.50446","562.14087","412.00673","3881.979","176.9676","-"
"Stellantis","1997","All","18.29661","15.69717","21.55085","485.71840","566.15292","412.37350","3913.473","174.5455","-"
"Stellantis","1998","All","18.02398","15.37671","21.28808","493.06536","577.95204","417.46360","3990.092","177.2713","-"
"Stellantis","1999","All","17.64451","15.03249","20.78517","503.66940","591.18599","427.56456","4119.872","191.7483","-"
"Stellantis","2000","All","18.21632","15.52162","21.36520","487.85923","572.55603","415.95676","3986.498","186.1711","-"
"Stellantis","2001","All","17.60463","14.97567","20.60319","504.81042","593.42939","431.34102","4169.898","195.4041","-"
"Stellantis","2002","All","17.70093","15.16403","20.47303","502.06391","586.05804","434.08323","4202.680","204.0049","-"
"Stellantis","2003","All","17.92850","15.45311","20.52717","495.69114","575.09455","432.93840","4266.092","203.4195","-"
"Stellantis","2004","All","17.73642","15.05685","20.56254","501.05949","590.22970","432.19359","4236.471","222.7123","-"
"Stellantis","2005","All","18.17971","15.32738","21.14869","489.04859","580.04814","420.39980","4278.735","220.9868","-"
"Stellantis","2006","All","18.14131","15.25205","21.16609","490.08451","582.90962","420.05855","4374.413","231.6009","-"
"Stellantis","2007","All","18.56603","15.76088","21.44544","478.77586","563.98467","414.49552","4326.118","223.1365","-"
"Stellantis","2008","All","19.32963","16.37596","22.37395","459.83045","542.76501","397.26578","4306.348","217.2404","50.13865"
"Stellantis","2009","All","19.14472","16.11987","22.30170","464.20118","551.30707","398.48972","4400.989","229.3157","50.89085"
"Stellantis","2010","All","19.53693","16.39750","22.83507","454.88217","541.97297","389.18210","4337.596","226.6699","50.86449"
"Stellantis","2011","All","19.41745","16.27736","22.72453","457.68119","545.97291","391.07516","4481.984","268.1654","51.78826"
"Stellantis","2012","All","20.07502","16.81522","23.51381","442.68945","528.50943","377.94806","4361.577","270.6688","51.39230"
"Stellantis","2013","All","20.87185","17.41172","24.55266","425.66692","510.29003","361.82843","4326.289","267.3839","51.51070"
"Stellantis","2014","All","20.73541","17.34721","24.31862","428.46357","512.18332","365.30656","4476.166","272.2508","52.22665"
"Stellantis","2015","All","21.77917","18.19429","25.58159","408.81290","489.40471","348.01557","4320.728","260.4203","50.69801"
"Stellantis","2016","All","21.54052","18.10731","25.13579","413.30332","491.69107","354.16869","4338.853","263.4282","51.39342"
"Stellantis","2017","All","21.14576","17.68775","24.80396","420.30393","502.53868","358.26719","4510.389","280.2802","52.81365"
"Stellantis","2018","All","21.72275","18.19789","25.44011","409.20584","488.41511","349.45148","4464.801","278.0765","51.99811"
"Stellantis","2019","All","21.23923","17.64548","25.09483","418.43194","503.64203","354.15064","4631.170","298.8903","54.93125"
"Stellantis","2020","All","21.29298","17.97839","24.73289","417.66878","494.62571","359.61355","4660.710","295.0484","54.85599"
"Stellantis","2021","All","21.25992","18.11658","24.46173","417.16365","489.07692","362.91329","4771.504","304.0484","55.48763"
"Stellantis","2022","All","21.31014","18.11810","24.57654","414.85809","487.20435","360.28108","4837.429","309.8690","56.73051"
"Stellantis","2023","All","21.82984","18.72921","24.94524","401.53275","466.59997","352.44695","4835.846","315.9766","56.01669"
"Stellantis","Prelim. 2024","All","23.25171","21.06382","25.22856","360.23561","391.64054","336.54418","5126.670","337.4151","55.73843"
"Subaru","1975","All","22.52468","20.91444","24.86444","394.54505","424.92165","357.41810","2345.632","58.0000","-"
"Subaru","1976","All","25.26693","23.80554","27.31650","351.72460","373.31649","325.33451","2366.223","61.2479","-"
"Subaru","1977","All","25.69683","23.54965","28.91958","345.84026","377.37285","307.30043","2353.122","65.3500","-"
"Subaru","1978","All","25.00394","22.97167","28.03535","355.42399","386.86780","316.99267","2400.855","67.0000","-"
"Subaru","1979","All","24.63175","22.70382","27.48424","360.79458","391.43193","323.34892","2432.104","67.0000","-"
"Subaru","1980","All","23.79922","21.51585","27.34626","373.41557","413.04428","324.98047","2411.553","68.4062","-"
"Subaru","1981","All","26.31207","24.69256","28.60510","337.75374","359.90593","310.67883","2410.387","70.4149","-"
"Subaru","1982","All","26.84848","25.14353","29.27470","331.00569","353.45083","303.57275","2525.036","70.7887","-"
"Subaru","1983","All","26.56586","24.68483","29.29420","334.52704","360.01866","303.37060","2555.542","73.1040","-"
"Subaru","1984","All","26.44847","24.56615","29.18130","336.01184","361.75801","304.54431","2581.092","73.4598","-"
"Subaru","1985","All","25.91687","24.18444","28.40370","342.90402","367.46764","312.88182","2629.159","85.6374","-"
"Subaru","1986","All","25.50780","23.84595","27.81127","348.40326","372.68379","319.54672","2668.059","88.4954","-"
"Subaru","1987","All","24.84463","23.17867","27.09665","357.70307","383.41284","327.97410","2726.217","89.6659","-"
"Subaru","1988","All","26.32664","24.65673","28.49428","337.56679","360.42895","311.88713","2612.603","89.7822","-"
"Subaru","1989","All","26.27877","24.73326","28.19963","338.18175","359.31367","315.14594","2621.284","87.8514","-"
"Subaru","1990","All","23.42426","21.21019","26.38326","379.39303","418.99679","336.84234","3079.538","116.1270","-"
"Subaru","1991","All","23.49401","21.23469","26.44149","378.26671","418.51320","336.10056","3078.693","115.1073","-"
"Subaru","1992","All","23.28883","20.92593","26.33005","381.59926","424.68845","337.52315","3187.992","147.2725","-"
"Subaru","1993","All","24.13606","21.59195","27.35468","368.20420","411.58857","324.88047","3037.208","116.8437","-"
"Subaru","1994","All","23.19892","20.53728","26.55934","383.07816","432.72528","334.60918","3172.409","126.6293","-"
"Subaru","1995","All","23.44574","20.56814","27.05758","379.04543","432.07591","328.44769","3193.326","132.3067","-"
"Subaru","1996","All","22.48275","19.71874","25.85893","395.28077","450.68794","343.67238","3333.150","141.6439","-"
"Subaru","1997","All","22.88479","19.94418","26.43061","388.33652","445.59361","336.23887","3324.598","151.7028","-"
"Subaru","1998","All","22.37000","19.69120","25.44037","397.27320","451.31833","349.32675","3400.795","157.7433","-"
"Subaru","1999","All","22.21926","19.47953","25.30387","399.96835","456.22255","351.21110","3427.010","159.3628","-"
"Subaru","2000","All","22.50957","19.76530","25.50626","394.80985","449.62647","348.42430","3444.989","163.1397","-"
"Subaru","2001","All","22.27995","19.53427","25.20926","398.87879","454.94400","352.52923","3674.359","168.4392","-"
"Subaru","2002","All","21.95768","19.06738","25.02376","404.73316","466.08387","355.14241","3644.335","179.5859","-"
"Subaru","2003","All","21.77975","18.81465","24.87681","408.03962","472.34471","357.24031","3670.844","173.5409","-"
"Subaru","2004","All","21.51071","18.41380","24.72069","413.14302","482.62724","359.49647","3631.592","184.4218","-"
"Subaru","2005","All","21.87347","18.68785","25.10142","406.29121","475.54958","354.04366","3573.280","190.8326","-"
"Subaru","2006","All","21.64060","18.59795","24.68749","410.66330","477.84831","359.97988","3680.340","196.8417","-"
"Subaru","2007","All","22.12756","19.05048","25.19793","401.62589","466.49736","352.68775","3595.463","189.2089","-"
"Subaru","2008","All","22.26126","19.09285","25.44693","399.21363","465.46214","349.23668","3619.594","187.9344","42.63786"
"Subaru","2009","All","22.61805","19.51843","25.69650","392.91620","455.31321","345.84477","3543.072","178.6089","43.92650"
"Subaru","2010","All","23.43180","20.21709","26.62566","379.27096","439.57854","333.77578","3644.938","177.3690","44.14015"
"Subaru","2011","All","23.75675","20.53402","26.94725","374.08309","432.79396","329.79244","3718.693","185.2441","44.57315"
"Subaru","2012","All","25.03342","21.67566","28.34597","355.00545","409.99909","313.51902","3662.841","175.6769","44.53053"
"Subaru","2013","All","26.45236","23.04963","29.76748","335.96245","385.55931","298.54727","3629.179","173.8332","44.37024"
"Subaru","2014","All","27.31929","23.92107","30.59846","325.30131","371.51347","290.43950","3632.207","171.5142","44.32084"
"Subaru","2015","All","28.05157","24.43224","31.58082","316.80935","363.74070","281.40500","3647.524","177.1623","44.71967"
"Subaru","2016","All","28.06045","24.42415","31.61078","316.70914","363.86120","281.13828","3663.198","176.7731","44.72788"
"Subaru","2017","All","28.50861","24.67287","32.29631","311.73042","360.19319","275.17080","3723.950","180.6839","45.03830"
"Subaru","2018","All","28.69908","24.96463","32.34967","309.66153","355.98358","274.71683","3679.809","177.0393","44.98755"
"Subaru","2019","All","28.44760","24.72525","32.09238","312.28579","359.26761","276.84337","3892.996","185.5087","45.86015"
"Subaru","2020","All","28.48220","24.85347","32.00765","311.83097","357.30512","277.52590","3972.874","196.5317","46.13654"
"Subaru","2021","All","28.75033","25.11404","32.27576","308.99916","353.70732","275.27196","3898.782","194.5081","45.86412"
"Subaru","2022","All","27.93890","24.40218","31.36865","318.02673","364.10237","283.26791","3976.771","202.7158","46.29601"
"Subaru","2023","All","28.37400","24.81976","31.81047","311.17757","356.16550","277.23930","3938.810","198.1715","46.04516"
"Subaru","Prelim. 2024","All","27.98143","24.73907","31.05154","316.00501","357.79241","284.48118","3917.509","195.1030","46.01578"
"Tesla","1975","All","-","-","-","-","-","-","-","-","-"
"Tesla","1976","All","-","-","-","-","-","-","-","-","-"
"Tesla","1977","All","-","-","-","-","-","-","-","-","-"
"Tesla","1978","All","-","-","-","-","-","-","-","-","-"
"Tesla","1979","All","-","-","-","-","-","-","-","-","-"
"Tesla","1980","All","-","-","-","-","-","-","-","-","-"
"Tesla","1981","All","-","-","-","-","-","-","-","-","-"
"Tesla","1982","All","-","-","-","-","-","-","-","-","-"
"Tesla","1983","All","-","-","-","-","-","-","-","-","-"
"Tesla","1984","All","-","-","-","-","-","-","-","-","-"
"Tesla","1985","All","-","-","-","-","-","-","-","-","-"
"Tesla","1986","All","-","-","-","-","-","-","-","-","-"
"Tesla","1987","All","-","-","-","-","-","-","-","-","-"
"Tesla","1988","All","-","-","-","-","-","-","-","-","-"
"Tesla","1989","All","-","-","-","-","-","-","-","-","-"
"Tesla","1990","All","-","-","-","-","-","-","-","-","-"
"Tesla","1991","All","-","-","-","-","-","-","-","-","-"
"Tesla","1992","All","-","-","-","-","-","-","-","-","-"
"Tesla","1993","All","-","-","-","-","-","-","-","-","-"
"Tesla","1994","All","-","-","-","-","-","-","-","-","-"
"Tesla","1995","All","-","-","-","-","-","-","-","-","-"
"Tesla","1996","All","-","-","-","-","-","-","-","-","-"
"Tesla","1997","All","-","-","-","-","-","-","-","-","-"
"Tesla","1998","All","-","-","-","-","-","-","-","-","-"
"Tesla","1999","All","-","-","-","-","-","-","-","-","-"
"Tesla","2000","All","-","-","-","-","-","-","-","-","-"
"Tesla","2001","All","-","-","-","-","-","-","-","-","-"
"Tesla","2002","All","-","-","-","-","-","-","-","-","-"
"Tesla","2003","All","-","-","-","-","-","-","-","-","-"
"Tesla","2004","All","-","-","-","-","-","-","-","-","-"
"Tesla","2005","All","-","-","-","-","-","-","-","-","-"
"Tesla","2006","All","-","-","-","-","-","-","-","-","-"
"Tesla","2007","All","-","-","-","-","-","-","-","-","-"
"Tesla","2008","All","-","-","-","-","-","-","-","-","-"
"Tesla","2009","All","-","-","-","-","-","-","-","-","-"
"Tesla","2010","All","-","-","-","-","-","-","-","-","-"
"Tesla","2011","All","-","-","-","-","-","-","-","-","-"
"Tesla","2012","All","89.14065","87.90000","90.10000","0.00000","0.00000","0.00000","4500.000","349.0000","53.50000"
"Tesla","2013","All","90.65500","89.40462","91.62166","0.00000","0.00000","0.00000","4500.000","346.9840","53.50000"
"Tesla","2014","All","90.16863","88.53592","91.44073","0.00000","0.00000","0.00000","4562.222","335.7883","53.60000"
"Tesla","2015","All","97.13512","93.61229","99.97328","0.00000","0.00000","0.00000","4901.756","396.1661","53.60000"
"Tesla","2016","All","96.81841","94.39673","98.72914","0.00000","0.00000","0.00000","5172.598","384.3064","53.94536"
"Tesla","2017","All","98.21854","96.37448","99.65706","0.00000","0.00000","0.00000","5211.807","499.9051","53.77349"
"Tesla","2018","All","113.67319","116.82017","111.40912","0.00000","0.00000","0.00000","4522.574","402.7222","50.43325"
"Tesla","2019","All","117.99980","123.77400","113.98822","0.00000","0.00000","0.00000","4436.414","392.0165","49.93446"
"Tesla","2020","All","119.08936","125.26178","114.82108","0.00000","0.00000","0.00000","4393.679","443.6990","50.57089"
"Tesla","2021","All","123.91925","131.47136","118.77235","0.00000","0.00000","0.00000","4317.204","375.8981","50.63205"
"Tesla","2022","All","119.25117","124.80072","115.38067","0.00000","0.00000","0.00000","4364.185","451.8285","50.77656"
"Tesla","2023","All","120.57422","126.61200","116.38724","0.00000","0.00000","0.00000","4383.789","406.8769","50.73609"
"Tesla","Prelim. 2024","All","117.42591","124.24377","112.75809","0.00000","0.00000","0.00000","4394.370","411.3932","50.77393"
"Toyota","1975","All","18.40479","16.65595","21.11441","482.86350","533.56308","420.89736","2748.065","89.7997","-"
"Toyota","1976","All","20.46137","18.25449","24.00894","434.33067","486.83905","370.15375","2773.170","86.6217","-"
"Toyota","1977","All","23.58134","21.50372","26.73885","376.86583","413.27737","332.36284","2684.617","82.4472","-"
"Toyota","1978","All","21.92111","20.18973","24.48773","405.40829","440.17436","362.91643","2693.512","85.0033","-"
"Toyota","1979","All","19.49317","17.81437","22.03067","455.90327","498.86684","403.39224","2732.782","83.2299","-"
"Toyota","1980","All","22.06820","20.51616","24.31652","402.70617","433.17077","365.47167","2672.380","81.4815","-"
"Toyota","1981","All","25.43530","23.80801","27.75383","350.42655","374.32922","321.21217","2621.451","79.2777","-"
"Toyota","1982","All","24.76786","23.01233","27.31465","359.89069","387.28023","326.41459","2676.957","83.8519","-"
"Toyota","1983","All","25.96838","24.37591","28.22181","342.57487","364.93627","315.24428","2753.569","87.7072","-"
"Toyota","1984","All","25.23203","23.63946","27.49606","352.82784","376.58823","323.78736","2845.045","90.7167","-"
"Toyota","1985","All","25.56374","23.86194","28.00485","347.88400","372.68535","317.57124","2888.522","96.4441","-"
"Toyota","1986","All","24.93252","23.25060","27.27845","356.48275","382.27059","325.82522","2959.241","101.2203","-"
"Toyota","1987","All","25.33475","23.43986","27.95104","350.78300","379.14050","317.94883","2965.946","106.6294","-"
"Toyota","1988","All","24.91620","23.04659","27.42418","356.67551","385.61023","324.05708","2941.855","107.9253","-"
"Toyota","1989","All","24.19740","22.31366","26.67125","367.27081","398.27615","333.20518","3004.059","113.8561","-"
"Toyota","1990","All","23.21972","21.18830","25.88243","382.73503","419.42963","343.36034","3132.348","123.8319","-"
"Toyota","1991","All","22.91283","20.85011","25.55949","387.86134","426.23285","347.69867","3173.372","123.8857","-"
"Toyota","1992","All","22.21555","20.04598","24.98002","400.03518","443.33084","355.76428","3241.907","130.7063","-"
"Toyota","1993","All","22.08850","19.76841","25.02261","402.33611","449.55563","355.15885","3284.610","135.8620","-"
"Toyota","1994","All","21.75007","19.42613","24.62261","408.59647","457.47670","360.92848","3316.924","131.4325","-"
"Toyota","1995","All","22.19012","19.69382","25.23752","400.49348","451.25841","352.13443","3369.260","140.8198","-"
"Toyota","1996","All","22.39440","19.86011","25.40865","396.84030","447.47985","349.76276","3321.803","142.0391","-"
"Toyota","1997","All","22.11600","19.52884","25.14104","401.83572","455.07060","353.48573","3371.210","148.8819","-"
"Toyota","1998","All","22.28460","19.57618","25.40340","398.79561","453.97017","349.83507","3455.037","158.0263","-"
"Toyota","1999","All","21.96844","19.27750","24.99183","404.53480","461.00372","355.59622","3535.654","163.2820","-"
"Toyota","2000","All","21.19307","18.52789","24.13302","419.33520","479.65536","368.25066","3623.325","171.1562","-"
"Toyota","2001","All","21.27654","18.59637","24.15610","417.69006","477.88897","367.89884","3638.657","174.7093","-"
"Toyota","2002","All","20.86869","18.16645","23.72074","425.85331","489.19841","374.65107","3732.330","183.6701","-"
"Toyota","2003","All","21.65375","18.73802","24.68839","410.41394","474.27631","359.96683","3623.635","178.3511","-"
"Toyota","2004","All","21.20695","18.22797","24.26878","419.06078","487.54735","366.19065","3862.469","190.6655","-"
"Toyota","2005","All","22.73632","19.52704","25.95422","390.87240","455.11249","342.41058","3711.257","186.0053","-"
"Toyota","2006","All","22.41368","19.41365","25.37140","396.49892","457.77075","350.27631","3810.924","189.3354","-"
"Toyota","2007","All","23.30101","20.09745","26.48595","381.39976","442.19533","335.53643","3807.702","199.5260","-"
"Toyota","2008","All","22.82157","19.78074","25.81536","389.41227","449.27539","344.25237","3953.414","211.7754","48.34014"
"Toyota","2009","All","25.44052","21.86843","29.01601","349.32464","406.38491","306.27918","3611.979","179.7139","46.08185"
"Toyota","2010","All","25.37782","21.99160","28.71311","350.18762","404.10890","309.51016","3821.196","193.6058","47.15099"
"Toyota","2011","All","23.93186","20.57297","27.29350","371.34596","431.97450","325.60864","3959.816","208.8389","48.69176"
"Toyota","2012","All","25.47293","22.25658","28.58972","348.85487","399.27441","310.81908","3860.225","196.0483","48.01394"
"Toyota","2013","All","25.02957","21.85083","28.11503","355.01929","406.67409","316.05162","3924.325","203.1157","48.08986"
"Toyota","2014","All","25.41825","22.13123","28.62559","349.56620","401.49805","310.38954","3898.327","201.5949","48.61576"
"Toyota","2015","All","24.97159","21.74225","28.12268","355.88470","408.74410","316.00830","3958.409","205.6819","48.38213"
"Toyota","2016","All","25.01450","21.80008","28.14521","355.23027","407.61534","315.71170","3986.353","210.6194","48.51502"
"Toyota","2017","All","25.27732","22.00668","28.46929","351.04903","403.15161","311.74321","4059.173","215.7714","49.00221"
"Toyota","2018","All","25.51833","22.24982","28.69875","347.94466","399.01539","309.41741","4083.356","220.1509","48.78112"
"Toyota","2019","All","25.77019","22.47968","28.96909","344.62329","395.05155","306.58092","4120.397","232.7357","49.45629"
"Toyota","2020","All","26.98401","23.69090","30.14509","329.01212","374.67454","294.56503","4036.826","222.5034","49.32237"
"Toyota","2021","All","27.10319","24.15351","29.85351","326.76946","366.54030","296.76689","4158.451","224.4600","49.68960"
"Toyota","2022","All","27.75377","24.71453","30.59176","319.27317","358.43085","289.73316","4136.523","224.9957","49.68512"
"Toyota","2023","All","27.46946","24.62368","30.08998","321.72601","358.98688","293.63555","4227.190","231.0977","50.42030"
"Toyota","Prelim. 2024","All","28.31812","25.90068","30.45636","310.32414","339.40003","288.42863","4416.283","239.0081","51.34459"
"VW","1975","All","22.60053","19.98550","26.90294","393.22085","444.67234","330.33570","2374.728","69.2166","-"
"VW","1976","All","23.38854","21.31225","26.54990","379.97238","416.99030","334.72825","2349.943","74.4562","-"
"VW","1977","All","24.56012","21.97323","28.68808","364.25463","407.01094","311.99692","2365.743","74.4330","-"
"VW","1978","All","23.10906","20.81760","26.70128","388.84179","431.45036","336.76464","2420.151","75.4274","-"
"VW","1979","All","23.86864","21.54529","27.49206","379.83061","420.32950","330.33196","2432.878","72.4974","-"
"VW","1980","All","26.03670","23.49676","30.00033","353.77702","391.45425","307.72708","2420.231","69.6899","-"
"VW","1981","All","28.56169","25.89788","32.66866","327.54834","360.93898","286.73755","2436.556","68.0310","-"
"VW","1982","All","27.38560","25.27974","30.48989","335.00371","362.48866","301.41100","2539.318","73.4183","-"
"VW","1983","All","24.50299","22.39353","27.69115","367.01499","401.38881","325.00254","2616.373","88.6692","-"
"VW","1984","All","23.58690","21.62344","26.53137","379.71044","414.07497","337.70934","2702.315","92.3513","-"
"VW","1985","All","24.51819","22.42452","27.67643","365.12833","399.20458","323.47959","2746.824","97.4742","-"
"VW","1986","All","24.21034","22.03156","27.44162","368.69517","405.13378","325.30849","2723.169","104.7115","-"
"VW","1987","All","23.44435","21.48566","26.21510","379.06794","413.62476","339.00304","2778.337","108.8238","-"
"VW","1988","All","24.76508","22.51174","27.92448","358.85210","394.77187","318.25119","2712.111","105.3320","-"
"VW","1989","All","24.40670","22.03859","27.68715","364.90957","404.10035","321.69654","2783.258","107.5703","-"
"VW","1990","All","23.33404","20.91165","26.65765","381.19994","425.34565","333.68635","2979.103","117.5959","-"
"VW","1991","All","23.81569","21.03324","27.66405","374.52121","423.98296","322.51070","2984.640","113.6626","-"
"VW","1992","All","23.89521","20.87448","28.06690","372.31995","426.16153","317.01898","2975.974","120.2114","-"
"VW","1993","All","21.25973","18.54989","24.90875","418.02030","479.08646","356.78232","3278.695","136.2019","-"
"VW","1994","All","22.96092","19.90060","27.03109","387.04890","446.56934","328.76959","3107.629","133.0304","-"
"VW","1995","All","23.09363","20.06103","26.99160","384.82478","442.99816","329.25053","3147.187","138.0163","-"
"VW","1996","All","22.90558","19.63335","27.12724","389.02232","453.81271","328.52548","3159.903","136.7134","-"
"VW","1997","All","22.93339","19.67715","27.00629","388.17783","452.39076","329.65825","3172.420","140.1500","-"
"VW","1998","All","23.23661","19.75984","27.55199","384.10328","451.60619","324.01594","3205.746","141.8341","-"
"VW","1999","All","22.70290","19.20113","26.98059","392.22550","463.70500","330.08547","3266.989","148.1971","-"
"VW","2000","All","22.79871","19.46580","26.67279","391.50524","458.47335","334.69765","3264.638","152.4355","-"
"VW","2001","All","22.41505","19.01426","26.31586","398.01955","469.14543","339.07310","3338.445","163.7495","-"
"VW","2002","All","22.99080","19.41253","27.02313","389.14975","460.79131","331.15550","3409.711","165.8885","-"
"VW","2003","All","23.17189","19.55284","27.14399","385.74709","457.05054","329.37464","3459.418","166.4430","-"
"VW","2004","All","20.96805","17.57246","24.64647","426.07507","508.37640","362.50853","3844.289","195.5628","-"
"VW","2005","All","21.24186","17.69960","25.01919","422.14477","506.57369","358.45277","3867.246","198.0330","-"
"VW","2006","All","22.68463","18.88491","26.74398","396.33228","475.76981","336.40573","3763.257","200.3082","-"
"VW","2007","All","21.87416","18.16148","25.86259","406.36730","489.43664","343.70096","3847.573","213.5829","-"
